bldg_id,in.representative_income,in.sqft..ft2,in.bedrooms,in.cec_climate_zone,in.city,in.clothes_washer,in.clothes_washer_presence,in.clothes_washer_usage_level,in.dishwasher_usage_level,in.door_area,in.geometry_building_type_acs,in.geometry_building_type_height,in.geometry_building_type_recs,in.geometry_floor_area,in.geometry_floor_area_bin,in.geometry_stories,in.geometry_stories_low_rise,in.heating_fuel,in.hot_water_distribution,in.hot_water_fixtures,in.vacancy_status,in.usage_level,in.water_heater_efficiency,in.water_heater_fuel,in.water_heater_in_unit,in.water_heater_location,in.utility_bill_electricity_marginal_rates,in.utility_bill_fuel_oil_marginal_rates,in.utility_bill_natural_gas_fixed_charges,in.utility_bill_natural_gas_marginal_rates,out.electricity.net.energy_savings..kwh,out.utility_bills.total_bill_savings..usd,out.energy_burden_savings..percentage,out.emissions_reduction.total.aer_mid_case_avg..co2e_kg
471990,322393.0,5587.0,4,3,"CA, Redwood City",Standard,Yes,120% Usage,120% Usage,20 ft^2,Single-Family Detached,Single-Family Detached,Single-Family Detached,4000,4000,2,2,Natural Gas,Uninsulated,130% Usage,Occupied,High,Natural Gas Standard,Natural Gas,Yes,Living Space,0.266971414,3.741846154,4.95,1.964713414,-771.3630567664,202.73,0.0628828789706972,1322.3034051766
473678,389411.0,854.0,1,3,"CA, South San Francisco",Standard,Yes,80% Usage,80% Usage,20 ft^2,20 to 49 Unit,"Multi-Family with 5+ Units, 1-3 Stories",Multi-Family with 5+ Units,750-999,0-1499,3,3,Electricity,Uninsulated,70% Usage,Occupied,Low,Electric Standard,Electricity,Yes,Living Space,0.266971414,3.741846154,4.95,1.964713414,674.06346146,179.95,0.0462108158218438,50.7161628897
473848,268713.0,2678.0,4,3,"CA, San Bruno",Standard,Yes,100% Usage,100% Usage,20 ft^2,Single-Family Detached,Single-Family Detached,Single-Family Detached,2500-2999,2500-3999,2,2,Natural Gas,Uninsulated,110% Usage,Occupied,Medium,Natural Gas Standard,Natural Gas,Yes,Outside,0.266971414,3.741846154,4.95,1.964713414,-1057.986563422,180.98,0.067350667812871,1487.238662756
474156,,623.0,3,3,"CA, South San Francisco",,,120% Usage,120% Usage,20 ft^2,5 to 9 Unit,"Multi-Family with 5+ Units, 1-3 Stories",Multi-Family with 5+ Units,500-749,0-1499,3,3,Natural Gas,Uninsulated,110% Usage,Vacant,High,Natural Gas Tankless,Natural Gas,No,Conditioned Mechanical Room,0.266971414,3.741846154,4.95,1.964713414,-178.1872106816,-47.58,,-17.3181566866
476309,111500.0,854.0,1,3,In another census Place,,,80% Usage,80% Usage,20 ft^2,50 or more Unit,"Multi-Family with 5+ Units, 8+ Stories",Multi-Family with 5+ Units,750-999,0-1499,10,4,Natural Gas,Uninsulated,70% Usage,Occupied,Low,Natural Gas Standard,Natural Gas,Yes,Living Space,0.266971414,3.741846154,4.95,1.964713414,-101.109519219,153.96,0.138080717488789,616.477390067
476571,169634.0,1138.0,3,3,In another census Place,,,120% Usage,120% Usage,20 ft^2,5 to 9 Unit,"Multi-Family with 5+ Units, 1-3 Stories",Multi-Family with 5+ Units,1000-1499,0-1499,2,2,Electricity,Uninsulated,130% Usage,Occupied,High,Natural Gas Standard,Natural Gas,No,Conditioned Mechanical Room,0.266971414,3.741846154,4.95,1.964713414,-1132.719686323,309.52,0.182463421248099,1789.6895191483
476813,17928.0,623.0,2,3,In another census Place,EnergyStar,Yes,120% Usage,120% Usage,20 ft^2,10 to 19 Unit,"Multi-Family with 5+ Units, 1-3 Stories",Multi-Family with 5+ Units,500-749,0-1499,2,2,Natural Gas,Uninsulated,140% Usage,Occupied,High,Natural Gas Standard,Natural Gas,No,Conditioned Mechanical Room,0.266971414,3.741846154,4.95,1.964713414,-579.401505785399,140.63,0.784415439535922,953.7822841701
476919,399323.0,2179.0,4,3,In another census Place,Standard,Yes,80% Usage,80% Usage,20 ft^2,Single-Family Detached,Single-Family Detached,Single-Family Detached,2000-2499,1500-2499,1,1,Natural Gas,Uninsulated,80% Usage,Occupied,Low,Natural Gas Standard,Natural Gas,Yes,Garage,0.266971414,3.741846154,4.95,1.964713414,-465.689930547799,105.72,0.0264748086135785,744.0139567399
476984,464667.0,1678.0,3,3,In another census Place,Standard,Yes,120% Usage,120% Usage,20 ft^2,Single-Family Attached,Single-Family Attached,Single-Family Attached,1500-1999,1500-2499,1,1,Natural Gas,Uninsulated,130% Usage,Occupied,High,Natural Gas Premium,Natural Gas,Yes,Living Space,0.266971414,3.741846154,4.95,1.964713414,-104.3333009912,329.03,0.0708098487734228,1203.1220099591
477135,282841.0,623.0,2,3,"CA, San Mateo",EnergyStar,Yes,120% Usage,120% Usage,20 ft^2,3 or 4 Unit,Multi-Family with 2 - 4 Units,Multi-Family with 2 - 4 Units,500-749,0-1499,3,3,Natural Gas,Uninsulated,150% Usage,Occupied,High,Natural Gas Standard,Natural Gas,No,Conditioned Mechanical Room,0.266971414,3.741846154,4.95,1.964713414,-645.635567650601,144.05,0.0509296742692892,1025.9261506186
477855,153427.0,1228.0,4,3,In another census Place,,,80% Usage,80% Usage,20 ft^2,Single-Family Detached,Single-Family Detached,Single-Family Detached,1000-1499,0-1499,1,1,Natural Gas,Uninsulated,70% Usage,Occupied,Low,Natural Gas Standard,Natural Gas,Yes,Outside,0.266971414,3.741846154,4.95,1.964713414,-586.4352114702,117.16,0.0763620484008682,881.379870070701
480016,2844.0,1698.0,2,3,In another census Place,EnergyStar,Yes,80% Usage,80% Usage,20 ft^2,Single-Family Detached,Single-Family Detached,Single-Family Detached,1500-1999,1500-2499,2,2,Natural Gas,Uninsulated,60% Usage,Occupied,Low,Natural Gas Standard,Natural Gas,Yes,Living Space,0.266971414,3.741846154,4.95,1.964713414,-252.6272625124,137.66,4.84036568213784,470.738161586
480125,113944.0,872.0,2,3,"CA, San Bruno",EnergyStar,Yes,120% Usage,120% Usage,20 ft^2,Single-Family Attached,Single-Family Attached,Single-Family Attached,750-999,0-1499,2,2,Natural Gas,Uninsulated,140% Usage,Occupied,High,Natural Gas Standard,Natural Gas,Yes,Outside,0.266971414,3.741846154,4.95,1.964713414,-692.8200099528,132.74,0.116495822509303,1022.4334893696
481216,36736.0,2179.0,2,3,"CA, San Mateo",Standard,Yes,100% Usage,100% Usage,20 ft^2,Single-Family Detached,Single-Family Detached,Single-Family Detached,2000-2499,1500-2499,1,1,Natural Gas,Uninsulated,80% Usage,Occupied,Medium,Natural Gas Premium,Natural Gas,Yes,Unheated Basement,0.266971414,3.741846154,4.95,1.964713414,-295.1225676914,20.0,0.0544425087108014,310.071208208301
481219,143842.0,1698.0,3,3,"CA, Redwood City",Standard,Yes,100% Usage,100% Usage,20 ft^2,Single-Family Detached,Single-Family Detached,Single-Family Detached,1500-1999,1500-2499,1,1,Natural Gas,Uninsulated,90% Usage,Occupied,Medium,Natural Gas Premium,Natural Gas,Yes,Outside,0.266971414,3.741846154,4.95,1.964713414,-539.836911308401,188.92,0.131338552022358,646.2058339968
481446,52604.0,1138.0,2,3,"CA, Redwood City",,,100% Usage,100% Usage,20 ft^2,5 to 9 Unit,"Multi-Family with 5+ Units, 1-3 Stories",Multi-Family with 5+ Units,1000-1499,0-1499,2,2,Natural Gas,Uninsulated,90% Usage,Occupied,Medium,Natural Gas Standard,Natural Gas,No,Conditioned Mechanical Room,0.266971414,3.741846154,4.95,1.964713414,-439.0204631596,112.54,0.213938103566269,745.479060095
483695,223826.0,1138.0,2,3,In another census Place,,,80% Usage,80% Usage,20 ft^2,2 Unit,Multi-Family with 2 - 4 Units,Multi-Family with 2 - 4 Units,1000-1499,0-1499,1,1,Electricity,Uninsulated,80% Usage,Occupied,Low,Electric Premium,Electricity,Yes,Living Space,0.266971414,3.741846154,4.95,1.964713414,505.547596095001,134.91,0.0602744989411418,44.36586970970009
484209,111397.0,1228.0,3,3,"CA, San Mateo",EnergyStar,Yes,120% Usage,120% Usage,20 ft^2,Single-Family Detached,Single-Family Detached,Single-Family Detached,1000-1499,0-1499,1,1,Electricity,Uninsulated,120% Usage,Occupied,High,Natural Gas Standard,Natural Gas,Yes,Unheated Basement,0.266971414,3.741846154,4.95,1.964713414,-737.366812623202,84.6100000000001,0.0759535714606319,888.6282761433
486174,57285.0,623.0,2,3,"CA, San Bruno",EnergyStar,Yes,100% Usage,100% Usage,20 ft^2,5 to 9 Unit,"Multi-Family with 5+ Units, 1-3 Stories",Multi-Family with 5+ Units,500-749,0-1499,3,3,Natural Gas,Uninsulated,110% Usage,Occupied,Medium,Natural Gas Standard,Natural Gas,No,Conditioned Mechanical Room,0.266971414,3.741846154,4.95,1.964713414,-501.4446011122,124.3,0.216985249192633,832.9634204969
486367,64981.0,1698.0,4,3,"CA, Redwood City",EnergyStar,Yes,100% Usage,100% Usage,20 ft^2,Single-Family Detached,Single-Family Detached,Single-Family Detached,1500-1999,1500-2499,1,1,Natural Gas,Uninsulated,90% Usage,Occupied,Medium,Natural Gas Premium,Natural Gas,Yes,Garage,0.266971414,3.741846154,4.95,1.964713414,-944.568059254601,127.65,0.196442036903096,1213.4865956136
486463,54023.0,2179.0,1,4,In another census Place,Standard,Yes,120% Usage,120% Usage,20 ft^2,Single-Family Detached,Single-Family Detached,Single-Family Detached,2000-2499,1500-2499,1,1,Natural Gas,Uninsulated,120% Usage,Occupied,High,Natural Gas Premium,Natural Gas,Yes,Garage,0.266971414,3.741846154,4.95,1.964713414,-358.718989924799,47.71,0.0883142365288858,458.164581089601
486475,150916.0,854.0,2,3,"CA, South San Francisco",Standard,Yes,80% Usage,80% Usage,20 ft^2,3 or 4 Unit,Multi-Family with 2 - 4 Units,Multi-Family with 2 - 4 Units,750-999,0-1499,2,2,Natural Gas,Uninsulated,70% Usage,Occupied,Low,Natural Gas Standard,Natural Gas,Yes,Outside,0.266971414,3.741846154,4.95,1.964713414,-320.3266797286,89.1,0.0590394656630178,564.9266172165
487067,76564.0,1678.0,3,3,In another census Place,Standard,Yes,120% Usage,120% Usage,20 ft^2,Single-Family Attached,Single-Family Attached,Single-Family Attached,1500-1999,1500-2499,2,2,Electricity,Uninsulated,120% Usage,Occupied,High,Natural Gas Standard,Natural Gas,Yes,Living Space,0.266971414,3.741846154,4.95,1.964713414,-799.4978795056,-19.5100000000002,-0.0254819497413932,591.4481630904
487634,91856.0,1138.0,2,3,"CA, San Mateo",,,80% Usage,80% Usage,20 ft^2,50 or more Unit,"Multi-Family with 5+ Units, 4-7 Stories",Multi-Family with 5+ Units,1000-1499,0-1499,5,4,Natural Gas,Uninsulated,70% Usage,Occupied,Low,Natural Gas Premium,Natural Gas,No,Conditioned Mechanical Room,0.266971414,3.741846154,4.95,1.964713414,-667.0297557752,117.45,0.127863177146839,949.867782017
487855,,634.0,1,3,In another census Place,Standard,Yes,100% Usage,100% Usage,20 ft^2,Single-Family Detached,Single-Family Detached,Single-Family Detached,500-749,0-1499,1,1,Natural Gas,Uninsulated,100% Usage,Vacant,Medium,Natural Gas Standard,Natural Gas,Yes,Living Space,0.266971414,3.741846154,4.95,1.964713414,-25.2041120371998,101.3,,361.8623850149
488102,,854.0,1,3,"CA, Redwood City",EnergyStar,Yes,100% Usage,100% Usage,20 ft^2,50 or more Unit,"Multi-Family with 5+ Units, 8+ Stories",Multi-Family with 5+ Units,750-999,0-1499,35,4,Electricity,Uninsulated,110% Usage,Vacant,Medium,Natural Gas Tankless,Natural Gas,No,Conditioned Mechanical Room,0.266971414,3.741846154,4.95,1.964713414,-161.7752307504,16.26,,-15.8485174078
488420,243423.0,1678.0,2,3,"CA, San Mateo",EnergyStar,Yes,120% Usage,120% Usage,20 ft^2,Single-Family Attached,Single-Family Attached,Single-Family Attached,1500-1999,1500-2499,2,2,Natural Gas,Uninsulated,120% Usage,Occupied,High,Electric Standard,Electricity,Yes,Living Space,0.266971414,3.741846154,4.95,1.964713414,1838.7278944348,424.54,0.174404226387811,-85.2027907808001
488449,254557.0,2678.0,3,3,In another census Place,Standard,Yes,80% Usage,80% Usage,20 ft^2,Single-Family Detached,Single-Family Detached,Single-Family Detached,2500-2999,2500-3999,2,2,Natural Gas,Uninsulated,60% Usage,Occupied,Low,Natural Gas Premium,Natural Gas,Yes,Outside,0.266971414,3.741846154,4.95,1.964713414,-557.4211755204,196.65,0.0772518532195147,677.354022044699
489092,94914.0,322.0,1,3,In another census Place,,,100% Usage,100% Usage,20 ft^2,5 to 9 Unit,"Multi-Family with 5+ Units, 4-7 Stories",Multi-Family with 5+ Units,0-499,0-1499,4,4,Electricity,Uninsulated,100% Usage,Occupied,Medium,Natural Gas Standard,Natural Gas,Yes,Living Space,0.266971414,3.741846154,4.95,1.964713414,-868.955723143,54.6200000000001,0.0575468318688499,696.3822219662
489206,63782.0,2179.0,5,3,In another census Place,Standard,Yes,80% Usage,80% Usage,20 ft^2,Single-Family Detached,Single-Family Detached,Single-Family Detached,2000-2499,1500-2499,1,1,Natural Gas,Uninsulated,80% Usage,Occupied,Low,Natural Gas Standard,Natural Gas,Yes,Living Space,0.266971414,3.741846154,4.95,1.964713414,-243.542059336201,253.8,0.397917907873696,1063.8736882928
489252,329307.0,5587.0,5,3,In another census Place,EnergyStar,Yes,100% Usage,100% Usage,20 ft^2,Single-Family Detached,Single-Family Detached,Single-Family Detached,4000,4000,2,2,Natural Gas,Uninsulated,90% Usage,Occupied,Medium,Natural Gas Premium,Natural Gas,Yes,Outside,0.266971414,3.741846154,4.95,1.964713414,-836.1317632806,94.8099999999995,0.0287907636339342,1011.8829308434
489619,109952.0,1138.0,2,3,In another census Place,EnergyStar,Yes,100% Usage,100% Usage,20 ft^2,2 Unit,Multi-Family with 2 - 4 Units,Multi-Family with 2 - 4 Units,1000-1499,0-1499,2,2,Natural Gas,Uninsulated,90% Usage,Occupied,Medium,Natural Gas Standard,Natural Gas,Yes,Living Space,0.266971414,3.741846154,4.95,1.964713414,-771.6561278366,112.57,0.102381038998836,1019.5168904305
489624,31011.0,623.0,1,3,"CA, San Mateo",,,100% Usage,100% Usage,20 ft^2,5 to 9 Unit,"Multi-Family with 5+ Units, 1-3 Stories",Multi-Family with 5+ Units,500-749,0-1499,3,3,Natural Gas,Uninsulated,80% Usage,Occupied,Medium,Natural Gas Standard,Natural Gas,Yes,Living Space,0.266971414,3.741846154,4.95,1.964713414,-541.302266659401,84.28,0.271774531617813,732.2523065858
489671,136054.0,1228.0,3,3,"CA, South San Francisco",EnergyStar,Yes,100% Usage,100% Usage,20 ft^2,Single-Family Detached,Single-Family Detached,Single-Family Detached,1000-1499,0-1499,1,1,Natural Gas,Uninsulated,90% Usage,Occupied,Medium,Natural Gas Premium,Natural Gas,Yes,Living Space,0.266971414,3.741846154,4.95,1.964713414,-1219.4687231022,-15.7399999999998,-0.0115689358637012,953.0383926833
489831,459386.0,1228.0,2,3,In another census Place,EnergyStar,Yes,80% Usage,80% Usage,20 ft^2,Single-Family Detached,Single-Family Detached,Single-Family Detached,1000-1499,0-1499,1,1,Natural Gas,Uninsulated,70% Usage,Occupied,Low,Natural Gas Standard,Natural Gas,Yes,Living Space,0.266971414,3.741846154,4.95,1.964713414,-820.892067630201,309.06,0.0672767563661061,1067.1849125938
489948,84369.0,854.0,2,3,"CA, San Mateo",,,120% Usage,120% Usage,20 ft^2,3 or 4 Unit,Multi-Family with 2 - 4 Units,Multi-Family with 2 - 4 Units,750-999,0-1499,2,2,Electricity,Uninsulated,120% Usage,Occupied,High,Electric Premium,Electricity,No,Conditioned Mechanical Room,0.266971414,3.741846154,4.95,1.964713414,877.161713108601,234.16,0.277542699332693,82.0321801145
490033,168126.0,1207.0,2,3,In another census Place,Standard,Yes,80% Usage,80% Usage,20 ft^2,Single-Family Attached,Single-Family Attached,Single-Family Attached,1000-1499,0-1499,2,2,Electricity,Uninsulated,70% Usage,Occupied,Low,Natural Gas Tankless,Natural Gas,Yes,Living Space,0.266971414,3.741846154,4.95,1.964713414,-383.0438887514,78.26,0.0465484220168207,382.1878591146
490042,64828.0,1138.0,2,3,"CA, South San Francisco",,,100% Usage,100% Usage,20 ft^2,50 or more Unit,"Multi-Family with 5+ Units, 1-3 Stories",Multi-Family with 5+ Units,1000-1499,0-1499,3,3,Electricity,Uninsulated,100% Usage,Occupied,Medium,Electric Premium,Electricity,No,Conditioned Mechanical Room,0.266971414,3.741846154,4.95,1.964713414,3359.7667487728,896.99,1.38364595545135,253.5037037456
490233,129350.0,1698.0,3,3,"CA, South San Francisco",Standard,Yes,120% Usage,120% Usage,20 ft^2,Single-Family Detached,Single-Family Detached,Single-Family Detached,1500-1999,1500-2499,2,2,Electricity,Uninsulated,120% Usage,Occupied,High,Natural Gas Standard,Natural Gas,Yes,Living Space,0.266971414,3.741846154,4.95,1.964713414,-1271.3423025276,-61.1100000000006,-0.047243911867028,840.1392517903
491491,127480.0,1228.0,3,3,In another census Place,EnergyStar,Yes,100% Usage,100% Usage,20 ft^2,Single-Family Detached,Single-Family Detached,Single-Family Detached,1000-1499,0-1499,1,1,Natural Gas,Uninsulated,110% Usage,Occupied,Medium,Natural Gas Premium,Natural Gas,Yes,Garage,0.266971414,3.741846154,4.95,1.964713414,-547.163688063401,64.1100000000001,0.0502902416065267,668.7040155488
492485,69023.0,872.0,2,3,"CA, Redwood City",Standard,Yes,120% Usage,120% Usage,20 ft^2,Single-Family Attached,Single-Family Attached,Single-Family Attached,750-999,0-1499,2,2,Natural Gas,Uninsulated,120% Usage,Occupied,High,Natural Gas Premium,Natural Gas,Yes,Living Space,0.266971414,3.741846154,4.95,1.964713414,-500.272316831401,100.54,0.145661591063848,755.4308766928
492602,87673.0,1138.0,2,3,"CA, San Mateo",EnergyStar,Yes,120% Usage,120% Usage,20 ft^2,50 or more Unit,"Multi-Family with 5+ Units, 8+ Stories",Multi-Family with 5+ Units,1000-1499,0-1499,15,4,Electricity,Uninsulated,130% Usage,Occupied,High,Electric Standard,Electricity,Yes,Living Space,0.266971414,3.741846154,4.95,1.964713414,1959.180104287,523.03,0.5965690691547,132.9388517996
492888,,625.0,1,3,In another census Place,,,100% Usage,100% Usage,20 ft^2,Single-Family Attached,Single-Family Attached,Single-Family Attached,500-749,0-1499,1,1,Electricity,Uninsulated,100% Usage,Vacant,Medium,Electric Tankless,Electricity,Yes,Living Space,0.266971414,3.741846154,4.95,1.964713414,-152.9830986444,-40.88,,-14.4650606793
493439,11314.0,623.0,1,3,In another census Place,,,100% Usage,100% Usage,20 ft^2,20 to 49 Unit,"Multi-Family with 5+ Units, 1-3 Stories",Multi-Family with 5+ Units,500-749,0-1499,3,3,Electricity,Uninsulated,90% Usage,Occupied,Medium,Natural Gas Standard,Natural Gas,No,Conditioned Mechanical Room,0.266971414,3.741846154,4.95,1.964713414,-261.1263235482,144.51,1.27726710270461,501.9816040316
493481,510568.0,3310.0,4,3,In another census Place,EnergyStar,Yes,100% Usage,100% Usage,20 ft^2,Single-Family Detached,Single-Family Detached,Single-Family Detached,3000-3999,2500-3999,2,2,Electricity,Uninsulated,100% Usage,Occupied,Medium,Natural Gas Standard,Natural Gas,Yes,Garage,0.266971414,3.741846154,4.95,1.964713414,-1483.5257573524,-0.0600000000004002,-1.17516178061e-05,1199.0079271632
493538,248508.0,1698.0,3,3,"CA, Daly City",Standard,Yes,100% Usage,100% Usage,20 ft^2,Single-Family Detached,Single-Family Detached,Single-Family Detached,1500-1999,1500-2499,1,1,Natural Gas,Uninsulated,90% Usage,Occupied,Medium,Natural Gas Standard,Natural Gas,Yes,Living Space,0.266971414,3.741846154,4.95,1.964713414,-497.927748269801,83.1900000000001,0.0334757834757833,694.5996039521
494532,291071.0,3310.0,4,3,In another census Place,Standard,Yes,100% Usage,100% Usage,20 ft^2,Single-Family Detached,Single-Family Detached,Single-Family Detached,3000-3999,2500-3999,1,1,Electricity,Uninsulated,100% Usage,Occupied,Medium,Electric Premium,Electricity,Yes,Outside,0.266971414,3.741846154,4.95,1.964713414,3576.932411791,954.95,0.328081464659825,274.3099857575
494591,378400.0,623.0,1,3,In another census Place,EnergyStar,Yes,100% Usage,100% Usage,20 ft^2,10 to 19 Unit,"Multi-Family with 5+ Units, 1-3 Stories",Multi-Family with 5+ Units,500-749,0-1499,2,2,Natural Gas,Uninsulated,110% Usage,Occupied,Medium,Natural Gas Premium,Natural Gas,No,Conditioned Mechanical Room,0.266971414,3.741846154,4.95,1.964713414,-542.18147987,76.3499999999999,0.0201770613107822,706.8602057132
495276,1648476.0,2678.0,5,3,"CA, San Mateo",EnergyStar,Yes,100% Usage,100% Usage,20 ft^2,Single-Family Detached,Single-Family Detached,Single-Family Detached,2500-2999,2500-3999,2,2,Natural Gas,Uninsulated,90% Usage,Occupied,Medium,Natural Gas Premium,Natural Gas,Yes,Heated Basement,0.266971414,3.741846154,4.95,1.964713414,-1776.010685412,64.5299999999998,0.0039145246882575,1683.1588151301
496285,105461.0,1228.0,3,3,"CA, San Mateo",Standard,Yes,100% Usage,100% Usage,20 ft^2,Single-Family Detached,Single-Family Detached,Single-Family Detached,1000-1499,0-1499,1,1,Natural Gas,Uninsulated,90% Usage,Occupied,Medium,Natural Gas Tankless,Natural Gas,Yes,Living Space,0.266971414,3.741846154,4.95,1.964713414,-462.4661487756,-29.3000000000002,-0.0277827822607408,277.761823693199
496841,39195.0,1138.0,2,3,In another census Place,,,100% Usage,100% Usage,20 ft^2,50 or more Unit,"Multi-Family with 5+ Units, 1-3 Stories",Multi-Family with 5+ Units,1000-1499,0-1499,3,3,Electricity,Uninsulated,90% Usage,Occupied,Medium,Natural Gas Standard,Natural Gas,No,Conditioned Mechanical Room,0.266971414,3.741846154,4.95,1.964713414,-652.962344405601,169.12,0.431483607603011,1110.4485528444
497773,85789.0,1228.0,3,3,In another census Place,EnergyStar,Yes,100% Usage,100% Usage,20 ft^2,Single-Family Detached,Single-Family Detached,Single-Family Detached,1000-1499,0-1499,1,1,Natural Gas,Uninsulated,90% Usage,Occupied,Medium,Natural Gas Standard,Natural Gas,Yes,Heated Basement,0.266971414,3.741846154,4.95,1.964713414,-887.4192005656,115.65,0.134807492802108,1129.8033392723
499620,276780.0,854.0,1,3,In another census Place,,,100% Usage,100% Usage,20 ft^2,20 to 49 Unit,"Multi-Family with 5+ Units, 1-3 Stories",Multi-Family with 5+ Units,750-999,0-1499,1,1,Electricity,Uninsulated,90% Usage,Occupied,Medium,Natural Gas Tankless,Natural Gas,No,Conditioned Mechanical Room,0.266971414,3.741846154,4.95,1.964713414,-433.745183896,72.14,0.0260640219669051,401.0436939355
499643,91840.0,623.0,1,3,"CA, Redwood City",,,80% Usage,80% Usage,20 ft^2,3 or 4 Unit,Multi-Family with 2 - 4 Units,Multi-Family with 2 - 4 Units,500-749,0-1499,2,2,Natural Gas,Uninsulated,70% Usage,Occupied,Low,Natural Gas Standard,Natural Gas,Yes,Outside,0.266971414,3.741846154,4.95,1.964713414,-577.9361504344,119.65,0.130280923344948,884.278325315
499745,144915.0,1228.0,2,3,"CA, Daly City",Standard,Yes,120% Usage,120% Usage,20 ft^2,Single-Family Detached,Single-Family Detached,Single-Family Detached,1000-1499,0-1499,1,1,Natural Gas,Uninsulated,130% Usage,Occupied,High,Electric Standard,Electricity,Yes,Garage,0.266971414,3.741846154,4.95,1.964713414,2072.3055373842,545.81,0.376641479487976,125.9399215305
499906,152994.0,2179.0,3,3,In another census Place,Standard,Yes,80% Usage,80% Usage,20 ft^2,Single-Family Detached,Single-Family Detached,Single-Family Detached,2000-2499,1500-2499,2,2,Electricity,Uninsulated,80% Usage,Occupied,Low,Electric Standard,Electricity,Yes,Garage,0.266971414,3.741846154,4.95,1.964713414,2925.4354227364,781.03,0.510497143678837,228.9462128338
499949,81035.0,1138.0,2,3,"CA, Daly City",,,120% Usage,120% Usage,20 ft^2,2 Unit,Multi-Family with 2 - 4 Units,Multi-Family with 2 - 4 Units,1000-1499,0-1499,2,2,Natural Gas,Uninsulated,160% Usage,Occupied,High,Natural Gas Standard,Natural Gas,No,Conditioned Mechanical Room,0.266971414,3.741846154,4.95,1.964713414,-378.6478226984,103.96,0.128290244955883,660.6346072865
500215,166683.0,623.0,2,3,"CA, South San Francisco",EnergyStar,Yes,80% Usage,80% Usage,20 ft^2,5 to 9 Unit,"Multi-Family with 5+ Units, 1-3 Stories",Multi-Family with 5+ Units,500-749,0-1499,1,1,Electricity,Uninsulated,70% Usage,Occupied,Low,Natural Gas Standard,Natural Gas,No,Conditioned Mechanical Room,0.266971414,3.741846154,4.95,1.964713414,-349.9268578188,161.94,0.0971544788610717,637.7735518385
500331,303246.0,623.0,1,3,In another census Place,EnergyStar,Yes,100% Usage,100% Usage,20 ft^2,50 or more Unit,"Multi-Family with 5+ Units, 8+ Stories",Multi-Family with 5+ Units,500-749,0-1499,13,4,Electricity,Uninsulated,110% Usage,Occupied,Medium,Natural Gas Standard,Natural Gas,No,Conditioned Mechanical Room,0.266971414,3.741846154,4.95,1.964713414,-325.895030062401,153.94,0.0507640661377231,590.2053199966
500603,42184.0,854.0,2,3,"CA, Daly City",,,100% Usage,100% Usage,20 ft^2,50 or more Unit,"Multi-Family with 5+ Units, 4-7 Stories",Multi-Family with 5+ Units,750-999,0-1499,4,4,Electricity,Uninsulated,90% Usage,Occupied,Medium,Electric Standard,Electricity,Yes,Living Space,0.266971414,3.741846154,4.95,1.964713414,1881.8093417542,502.39,1.19094917504267,140.114683093
500955,77781.0,1698.0,3,3,In another census Place,EnergyStar,Yes,80% Usage,80% Usage,20 ft^2,Single-Family Detached,Single-Family Detached,Single-Family Detached,1500-1999,1500-2499,1,1,Electricity,Uninsulated,70% Usage,Occupied,Low,Natural Gas Premium,Natural Gas,Yes,Garage,0.266971414,3.741846154,4.95,1.964713414,-769.311559275,165.09,0.212249778223474,990.1740000152
501164,255594.0,1228.0,3,3,"CA, San Bruno",Standard,Yes,80% Usage,80% Usage,20 ft^2,Single-Family Detached,Single-Family Detached,Single-Family Detached,1000-1499,0-1499,1,1,Electricity,Uninsulated,70% Usage,Occupied,Low,Electric Premium,Electricity,Yes,Outside,0.266971414,3.741846154,4.95,1.964713414,2459.4524211184,656.61,0.256895701777037,179.9310213316
501941,92831.0,1228.0,3,3,"CA, South San Francisco",EnergyStar,Yes,100% Usage,100% Usage,20 ft^2,Single-Family Detached,Single-Family Detached,Single-Family Detached,1000-1499,0-1499,1,1,Natural Gas,Uninsulated,110% Usage,Occupied,Medium,Natural Gas Standard,Natural Gas,Yes,Living Space,0.266971414,3.741846154,4.95,1.964713414,-333.5148778876,81.8300000000002,0.0881494328403227,551.9357317397
501979,54840.0,298.0,2,3,In another census Place,,,80% Usage,80% Usage,20 ft^2,Single-Family Detached,Single-Family Detached,Single-Family Detached,0-499,0-1499,1,1,Natural Gas,Uninsulated,80% Usage,Occupied,Low,Natural Gas Standard,Natural Gas,Yes,Living Space,0.266971414,3.741846154,4.95,1.964713414,-531.6309213428,33.6099999999999,0.061287381473377,552.1670638484
502540,167684.0,1698.0,3,3,"CA, San Mateo",Standard,Yes,100% Usage,100% Usage,20 ft^2,Single-Family Detached,Single-Family Detached,Single-Family Detached,1500-1999,1500-2499,1,1,Natural Gas,Uninsulated,80% Usage,Occupied,Medium,Natural Gas Standard,Natural Gas,Yes,Garage,0.266971414,3.741846154,4.95,1.964713414,-565.0410233456,137.5,0.081999475203359,933.084864327
502631,,623.0,2,3,In another census Place,EnergyStar,Yes,100% Usage,100% Usage,20 ft^2,5 to 9 Unit,"Multi-Family with 5+ Units, 1-3 Stories",Multi-Family with 5+ Units,500-749,0-1499,2,2,Natural Gas,Uninsulated,110% Usage,Vacant,Medium,Natural Gas Standard,Natural Gas,No,Conditioned Mechanical Room,0.266971414,3.741846154,4.95,1.964713414,-174.377286769,66.35,,366.9380836352
